ID,Name,Longitude,Latitude
15091,Opp Natl Leadership Inst,103.78781,1.28291
15099,Natl Leadership Inst,103.78789,1.28306
15101,Opp LP 31,103.78562,1.28618
15109,LP 30,103.78581,1.28592
15111,Sci Pk 2/The Galen,103.78484,1.28676
15119,Opp Sci Pk 2/The Galen,103.78501,1.28704
15121,Sci Pk 2/The Gemini,103.78373,1.28894
15129,Opp Sci Pk 2/The Gemini,103.78402,1.28916
15131,Kent Ridge Stn,103.78449,1.29254
15139,Kent Ridge Stn Exit B,103.78458,1.29241
15141,Labrador Pk Stn,103.80096,1.27276
15149,Opp Labrador Pk Stn,103.80056,1.27342
15151,Opp Mapletree Biz City,103.79822,1.27389
15159,Mapletree Business City,103.79839,1.27426
15161,Opp HarbourSide Bldg 2,103.79666,1.27444
15169,HarbourSide Bldg 2,103.79674,1.27481
15181,Opp Ascent,103.78541,1.29108
15189,Ascent,103.7855,1.2908
15191,Pasir Panjang Stn/Fc,103.79264,1.27581
15199,Opp Currency Hse,103.79318,1.27604
15201,Aft Pasir Panjang Stn,103.78971,1.27681
15209,Bef Pasir Panjang Stn,103.79023,1.27707
15211,Opp Pasir View Pk,103.78643,1.27792
15219,Pasir View Pk,103.78701,1.27818
15221,Aft Sth Buona Vista Rd,103.78549,1.2795
15229,Bef Sth Buona Vista Rd,103.78573,1.27938
16009,Kent Ridge Ter,103.76988,1.29425
16011,Opp Haw Par Villa Stn,103.78187,1.28278
16019,Haw Par Villa Stn,103.78218,1.28278
16021,Opp Gloria Mansion,103.77981,1.28626
16029,Gloria Mansion,103.78022,1.28608
16031,Opp S'pore Science Pk II,103.77846,1.28801
16039,S'pore Science Pk II,103.77872,1.28799
16041,Opp Luxe Ville,103.7766,1.28931
16049,Whitehaven,103.77739,1.28911
16051,The Crystal Tabernacle Ch,103.77426,1.29015
16059,Jamiyah Halfway Hse,103.77594,1.28967
16061,Opp Heng Mui Keng Terr,103.77356,1.29046
16069,Heng Mui Keng Terr,103.7737,1.29065
16071,Opp Pasir Panjang PO,103.77117,1.2913
16079,Bef Pasir Panjang PO,103.7713,1.29138
16081,Aft Palm Green Condo,103.76866,1.29196
16089,Aft Clementi Rd,103.76908,1.29201
16091,Opp SIT Dover,103.77923,1.29948
16099,SIT Dover,103.77815,1.30061
16101,Inst Of Micro-Electronics,103.77969,1.28924
16109,The Alpha,103.77951,1.28911
16111,Aries,103.78283,1.28701
16119,Teletech Pk,103.78261,1.28698
16121,Galen,103.78345,1.28651
16131,Opp Kent Ridge Ter,103.76935,1.29488
16139,Bef Kent Ridge Ter,103.76975,1.29538
16141,Tentera Diraja Mque,103.7696,1.29787
16149,NUS Fac Of Architecture,103.76994,1.29782
16151,The Japanese Pr Sch,103.76994,1.30076
16159,NUS Fac Of Engrg,103.77017,1.3006
16161,Nus Museums,103.77369,1.30108
16169,NUS Raffles Hall,103.7727,1.30098
16171,Yusof Ishak Hse,103.77438,1.2989
16179,Opp Yusof Ishak Hse,103.77418,1.29898
